id,snapshot_time,game_id,home_team,away_team,commence_time,bookmaker,market,outcome,odds,point,created_at
51159,56:27.0,ff2a46700188e584faa83c63945ab87a,Chicago Cubs,Kansas City Royals,21:00.0,DraftKings,h2h,Chicago Cubs,1.67,NULL,56:28.1
51160,56:27.0,ff2a46700188e584faa83c63945ab87a,Chicago Cubs,Kansas City Royals,21:00.0,DraftKings,h2h,Kansas City Royals,2.23,NULL,56:28.1
51161,56:27.0,ff2a46700188e584faa83c63945ab87a,Chicago Cubs,Kansas City Royals,21:00.0,DraftKings,totals,Over,1.95,10.5,56:28.1
51162,56:27.0,ff2a46700188e584faa83c63945ab87a,Chicago Cubs,Kansas City Royals,21:00.0,DraftKings,totals,Under,1.87,10.5,56:28.1
51155,56:27.0,a480d989d2c2f9005491b052af4dd517,New York Mets,Los Angeles Angels,10:00.0,DraftKings,h2h,Los Angeles Angels,2.52,NULL,56:28.1
51156,56:27.0,a480d989d2c2f9005491b052af4dd517,New York Mets,Los Angeles Angels,10:00.0,DraftKings,h2h,New York Mets,1.53,NULL,56:28.1
51157,56:27.0,a480d989d2c2f9005491b052af4dd517,New York Mets,Los Angeles Angels,10:00.0,DraftKings,totals,Over,1.83,8.5,56:28.1
51158,56:27.0,a480d989d2c2f9005491b052af4dd517,New York Mets,Los Angeles Angels,10:00.0,DraftKings,totals,Under,1.99,8.5,56:28.1
51151,56:27.0,fc04af0de0e993fbbe630cdbda9a484b,Pittsburgh Pirates,Detroit Tigers,36:00.0,DraftKings,h2h,Detroit Tigers,1.63,NULL,56:28.1
51152,56:27.0,fc04af0de0e993fbbe630cdbda9a484b,Pittsburgh Pirates,Detroit Tigers,36:00.0,DraftKings,h2h,Pittsburgh Pirates,2.29,NULL,56:28.1
51153,56:27.0,fc04af0de0e993fbbe630cdbda9a484b,Pittsburgh Pirates,Detroit Tigers,36:00.0,DraftKings,totals,Over,1.83,8.5,56:28.1
51154,56:27.0,fc04af0de0e993fbbe630cdbda9a484b,Pittsburgh Pirates,Detroit Tigers,36:00.0,DraftKings,totals,Under,2,8.5,56:28.1
51147,56:27.0,38b1d237d12dcc9c89763c12a65bdbe1,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,h2h,Atlanta Braves,1.56,NULL,56:28.1
51148,56:27.0,38b1d237d12dcc9c89763c12a65bdbe1,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,h2h,San Francisco Giants,2.47,NULL,56:28.1
51149,56:27.0,38b1d237d12dcc9c89763c12a65bdbe1,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,totals,Over,1.86,8,56:28.1
51150,56:27.0,38b1d237d12dcc9c89763c12a65bdbe1,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,totals,Under,1.96,8,56:28.1
51143,56:27.0,84f30d46434c51566e8f1ab1c0a03872,Miami Marlins,San Diego Padres,11:00.0,DraftKings,h2h,Miami Marlins,2.22,NULL,56:28.1
51144,56:27.0,84f30d46434c51566e8f1ab1c0a03872,Miami Marlins,San Diego Padres,11:00.0,DraftKings,h2h,San Diego Padres,1.68,NULL,56:28.1
51145,56:27.0,84f30d46434c51566e8f1ab1c0a03872,Miami Marlins,San Diego Padres,11:00.0,DraftKings,totals,Over,1.94,8,56:28.1
51146,56:27.0,84f30d46434c51566e8f1ab1c0a03872,Miami Marlins,San Diego Padres,11:00.0,DraftKings,totals,Under,1.87,8,56:28.1
51139,56:27.0,15234b218829df26a0cc31e23ac81548,Washington Nationals,Cincinnati Reds,06:00.0,DraftKings,h2h,Cincinnati Reds,1.7,NULL,56:28.1
51140,56:27.0,15234b218829df26a0cc31e23ac81548,Washington Nationals,Cincinnati Reds,06:00.0,DraftKings,h2h,Washington Nationals,2.18,NULL,56:28.1
51141,56:27.0,15234b218829df26a0cc31e23ac81548,Washington Nationals,Cincinnati Reds,06:00.0,DraftKings,totals,Over,1.88,8.5,56:28.1
51142,56:27.0,15234b218829df26a0cc31e23ac81548,Washington Nationals,Cincinnati Reds,06:00.0,DraftKings,totals,Under,1.93,8.5,56:28.1
51135,58:29.0,d2b3463ab66e3fb1fd7b478ba0264cae,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,h2h,Los Angeles Dodgers,1.44,NULL,58:30.0
51136,58:29.0,d2b3463ab66e3fb1fd7b478ba0264cae,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,h2h,Minnesota Twins,2.82,NULL,58:30.0
51137,58:29.0,d2b3463ab66e3fb1fd7b478ba0264cae,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,totals,Over,1.91,8.5,58:30.0
51138,58:29.0,d2b3463ab66e3fb1fd7b478ba0264cae,Los Angeles Dodgers,Minnesota Twins,11:00.0,DraftKings,totals,Under,1.9,8.5,58:30.0
51127,58:29.0,bc7de0d32f8fca35ab010384abbb8629,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,h2h,Arizona Diamondbacks,2.07,NULL,58:30.0
51128,58:29.0,bc7de0d32f8fca35ab010384abbb8629,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,h2h,Houston Astros,1.76,NULL,58:30.0
51129,58:29.0,bc7de0d32f8fca35ab010384abbb8629,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,totals,Over,1.95,8.5,58:30.0
51130,58:29.0,bc7de0d32f8fca35ab010384abbb8629,Arizona Diamondbacks,Houston Astros,41:00.0,DraftKings,totals,Under,1.87,8.5,58:30.0
51131,58:29.0,6527892b815036107e6baa7a206f9150,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,h2h,Milwaukee Brewers,2.04,NULL,58:30.0
51132,58:29.0,6527892b815036107e6baa7a206f9150,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,h2h,Seattle Mariners,1.79,NULL,58:30.0
51133,58:29.0,6527892b815036107e6baa7a206f9150,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,totals,Over,1.79,6.5,58:30.0
51134,58:29.0,6527892b815036107e6baa7a206f9150,Seattle Mariners,Milwaukee Brewers,41:00.0,DraftKings,totals,Under,2.03,6.5,58:30.0
51123,58:29.0,83b9f23cbf51e409f72330c6f65d6e9d,Colorado Rockies,St. Louis Cardinals,41:00.0,DraftKings,h2h,Colorado Rockies,2.29,NULL,58:30.0
51124,58:29.0,83b9f23cbf51e409f72330c6f65d6e9d,Colorado Rockies,St. Louis Cardinals,41:00.0,DraftKings,h2h,St. Louis Cardinals,1.64,NULL,58:30.0
51125,58:29.0,83b9f23cbf51e409f72330c6f65d6e9d,Colorado Rockies,St. Louis Cardinals,41:00.0,DraftKings,totals,Over,1.87,12,58:30.0
51126,58:29.0,83b9f23cbf51e409f72330c6f65d6e9d,Colorado Rockies,St. Louis Cardinals,41:00.0,DraftKings,totals,Under,1.95,12,58:30.0
51115,58:29.0,8c9042132db849fda4be45ab47e84ef1,Chicago Cubs,Kansas City Royals,06:00.0,DraftKings,h2h,Chicago Cubs,1.37,NULL,58:30.0
51116,58:29.0,8c9042132db849fda4be45ab47e84ef1,Chicago Cubs,Kansas City Royals,06:00.0,DraftKings,h2h,Kansas City Royals,3.13,NULL,58:30.0
51117,58:29.0,8c9042132db849fda4be45ab47e84ef1,Chicago Cubs,Kansas City Royals,06:00.0,DraftKings,totals,Over,1.98,9,58:30.0
51118,58:29.0,8c9042132db849fda4be45ab47e84ef1,Chicago Cubs,Kansas City Royals,06:00.0,DraftKings,totals,Under,1.84,9,58:30.0
51119,58:29.0,518473ae31eead2043ca9e70a9ec5218,Texas Rangers,Oakland Athletics,06:00.0,DraftKings,h2h,Oakland Athletics,3.08,NULL,58:30.0
51120,58:29.0,518473ae31eead2043ca9e70a9ec5218,Texas Rangers,Oakland Athletics,06:00.0,DraftKings,h2h,Texas Rangers,1.38,NULL,58:30.0
51121,58:29.0,518473ae31eead2043ca9e70a9ec5218,Texas Rangers,Oakland Athletics,06:00.0,DraftKings,totals,Over,1.87,7.5,58:30.0
51122,58:29.0,518473ae31eead2043ca9e70a9ec5218,Texas Rangers,Oakland Athletics,06:00.0,DraftKings,totals,Under,1.95,7.5,58:30.0
51111,58:29.0,262de610cfd7d31eab52f5c42a719fea,Tampa Bay Rays,Chicago White Sox,36:00.0,DraftKings,h2h,Chicago White Sox,2.88,NULL,58:30.0
51112,58:29.0,262de610cfd7d31eab52f5c42a719fea,Tampa Bay Rays,Chicago White Sox,36:00.0,DraftKings,h2h,Tampa Bay Rays,1.43,NULL,58:30.0
51113,58:29.0,262de610cfd7d31eab52f5c42a719fea,Tampa Bay Rays,Chicago White Sox,36:00.0,DraftKings,totals,Over,1.83,8,58:30.0
51114,58:29.0,262de610cfd7d31eab52f5c42a719fea,Tampa Bay Rays,Chicago White Sox,36:00.0,DraftKings,totals,Under,1.99,8,58:30.0
51107,58:29.0,c845bcc9b029a75b4010744bde751069,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,h2h,Atlanta Braves,1.89,NULL,58:30.0
51108,58:29.0,c845bcc9b029a75b4010744bde751069,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,h2h,San Francisco Giants,1.93,NULL,58:30.0
51109,58:29.0,c845bcc9b029a75b4010744bde751069,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,totals,Over,1.94,9.5,58:30.0
